symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA,Flip angle,15.0,15.0,deg,0.0,180.0,False,4
S0,Signal amplitude S0,1200.0,1878.1643256870036,a.u.,0.0,inf,False,4
BAT,Bolus arrival time,60.0,80.2637343279281,sec,0.0,inf,True,3
CO,Cardiac output,100.0,75.9258654381212,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,6.804306215519869,sec,0.0,30.0,True,3
MTTo,Other organs mean transit time,20.0,11.733863944193,sec,0.0,60.0,True,3
TTDo,Other organs transit time dispersion,10.0,27.279231070455072,sec,0.0,inf,True,2
MTTe,Storage compartment mean transit time,120.0,445.45917916630214,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.15972793575737929,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.030389577137964436,,0.01,0.15,True,4
