symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA,Flip angle,15.0,15.0,deg,0.0,180.0,False,4
S0,Signal amplitude S0,1200.0,1321.5674438131537,a.u.,0.0,inf,False,4
BAT,Bolus arrival time,60.0,76.47153236964868,sec,0.0,inf,True,3
CO,Cardiac output,100.0,60.083865489696215,mL/sec,0.0,inf,True,3
MTThl,Heart & lung mean transit time,8.0,5.283484675459883,sec,0.0,30.0,True,3
MTTo,Other organs mean transit time,20.0,10.630699563805777,sec,0.0,60.0,True,3
TTDo,Other organs transit time dispersion,10.0,20.972819834331947,sec,0.0,inf,True,2
MTTe,Storage compartment mean transit time,120.0,515.1325354948276,sec,0.0,800.0,True,3
El,Storage compartment leakage fraction,0.15,0.30394931366175026,,0.0,0.5,True,4
Ee,Kidney & Liver Extraction fraction,0.05,0.052901252491880185,,0.01,0.15,True,4
