symbol,name,initial value,value,unit,lower bound,upper bound,fit,digits
FA1_corr,FA correction factor,1.0,1.0,,0.0,inf,False,6
FA2_corr,FA correction factor,1.0,1.0,,0.0,inf,False,6
S01_corr,Signal amplitude correction,1.0,1.0,,0.0,inf,False,6
S02_corr,Signal amplitude correction,1.0,1.0190384629603528,,0.0,inf,True,6
Tdel,Gut delay time,5.0,3.2859729398373005,sec,0.0,20.0,True,6
Te,Extracellular transit time,30.0,4.891141278946093e-07,sec,0.0,60.0,True,6
ve,Extracellular volume fraction,0.3,0.010000000326162134,mL/mL,0.01,0.6,True,6
k_he_i,Hepatocellular uptake rate,0.0033333333333333335,0.0027538233067332498,mL/sec/mL,0.0,inf,True,6
k_he_f,Hepatocellular uptake rate,0.0033333333333333335,0.006689766774223532,mL/sec/mL,0.0,inf,True,6
Kbh_i,Biliary tissue excretion rate,0.0005555555555555556,0.0003361384632860652,mL/sec/mL,0.0001388888888888889,0.0016666666666666668,True,6
Kbh_f,Biliary tissue excretion rate,0.0005555555555555556,0.0005460400603916931,mL/sec/mL,0.0001388888888888889,0.0016666666666666668,True,6
