Timepoints,Liver signal,AIF
36964.178,327.203,180.577
36966.357,315.897,167.142
36968.538,319.615,156.828
36970.715,327.55,173.757
36972.895,321.326,162.994
36975.072,323.953,162.53
36977.253,317.941,158.918
36979.432,323.15,171.097
36981.61,314.773,167.487
36983.79,315.456,162.395
36985.97,315.564,167.034
36988.148,319.03,169.47
36990.327,322.843,173.88
36992.508,319.001,157.957
36994.685,326.197,173.299
36996.865,316.234,169.596
36999.042,314.928,172.894
37001.223,315.648,167.239
37003.402,327.126,164.119
37005.58,318.663,161.795
37007.76,320.19,172.578
37009.94,315.573,168.222
37012.117,321.536,162.741
37014.298,316.578,166.231
37016.477,315.317,162.365
37018.655,320.968,165.103
37020.835,321.643,166.792
37023.012,320.959,161.368
37025.193,318.47,168.242
37027.372,316.537,161.776
37029.55,319.1,168.43
37031.73,318.133,181.736
37033.91,319.05,200.634
37036.087,318.819,212.444
37038.268,321.204,435.644
37040.445,323.941,597.162
37042.625,325.245,601.631
37044.805,320.836,438.193
37046.982,326.006,302.532
37049.163,330.855,242.061
37051.342,333.913,234.457
37053.52,341.374,252.142
37055.7,340.862,279.485
37057.88,346.664,288.147
37060.057,352.545,298.803
37062.238,346.086,281.362
37064.415,353.607,260.074
37066.595,345.23,243.797
37068.775,355.674,249.298
37070.952,348.757,236.976
37073.133,354.849,246.678
37075.312,345.163,243.289
37077.49,344.895,246.172
37079.67,345.912,248.968
37081.848,347.165,265.925
37084.027,343.247,249.735
37086.208,347.712,264.972
37088.385,340.839,246.004
37090.565,347.882,252.203
37092.745,345.338,237.202
37094.923,342.484,245.238
37097.102,339.54,255.366
37099.283,334.78,244.51
37101.46,344.379,245.819
37103.64,341.661,238.414
37105.818,338.876,245.108
37107.997,338.116,247.116
37110.178,337.784,245.76
37112.355,339.218,233.95
37114.535,340.883,257.172
37116.715,339.464,241.205
37118.893,339.253,252.031
37121.072,340.019,224.488
37123.25,349.39,247.968
37125.43,341.485,228.472
37127.61,346.948,249.721
37129.788,340.889,217.103
37131.967,344.149,243.391
37134.148,336.471,230.043
37136.325,337.831,240.147
37138.505,335.629,231.956
37140.685,337.655,237.888
37142.863,342.59,225.343
37145.042,341.914,234.353
37147.22,335.788,243.546
37149.4,341.602,238.456
37151.58,336.316,244.114
37153.758,338.419,239.915
37155.938,337.883,240.749
37158.117,337.053,239.168
37160.295,334.319,234.668
37162.475,335.76,234.455
37164.652,336.447,226.765
37166.833,337.165,209.394
37169.012,334.425,223.604
37171.19,335.077,212.305
37173.37,342.377,239.173
37175.55,334.404,223.127
37177.727,341.278,241.413
37179.908,335.445,231.282
37182.087,335.495,224.981
37184.265,335.032,197.705
37186.445,341.918,232.269
37188.622,334.238,212.658
37190.803,342.02,237.059
37192.982,336.961,235.434
37195.16,341.688,233.698
37197.34,332.541,233.126
37199.52,333.099,217.981
